PANGAEA ID,PANGAEA Name,PANGAEA Unit,SDN Unit URN,SDN Unit Name,SDN P01 ID,SDN P01 Name,SDN P01 URI,CF standard name,CF unit,EMODNET,EMODNET long name
102734,Partial pressure of carbon dioxide (water) at equilibrator temperature (wet air),µatm,SDN:P06::UATM,Microatmospheres,SDN:P01::PCO2XXXX,"Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water 
body",http://vocab.nerc.ac.uk/collection/P01/current/PCO2XXXX,surface_partial_pressure_of_carbon_dioxide_in_sea_water,uatm,PCO2,CO2 partial pressure
2136,Chlorophyll a,µg/l,SDN:P06::UGPL,Micrograms per litre,SDN:P01::CPHLZZXX,"Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the 
water body [particulate >unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX,mass_concentration_of_chlorophyll_a_in_sea_water,ug l-1,CPHL,Chlorophyll-a
14019,Chlorophyll a,µg/cm**3,SDN:P06::XGCC,Micrograms per cubic centimetre,SDN:P01::CPHLZZXX,"Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the 
water body [particulate >unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX,mass_concentration_of_chlorophyll_a_in_sea_water,ug cm-3,CPHL,Chlorophyll-a
128305,Chlorophyll a,mg/m**3,SDN:P06::UMMC,Milligrams per cubic metre,SDN:P01::CPHLZZXX,"Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the 
water body [particulate >unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX,mass_concentration_of_chlorophyll_a_in_sea_water,mg cm-3,CPHL,Chlorophyll-a
20815,Chlorophyll a,pmol/l,SDN:P06::UPML,	Picomoles per litre,SDN:P01::CPHLZZXX,"Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the 
water body [particulate >unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX,mass_concentration_of_chlorophyll_a_in_sea_water,pmol l-1,CPHL,Chlorophyll-a
6208,Chlorophyll total,µg/l,SDN:P06::UGPL,Micrograms per litre,SDN:P01::CHLTVOLU,"Concentration of chlorophyll {Chl CAS 1406-65-1} per unit volume of the 
water body",http://vocab.nerc.ac.uk/collection/P01/current/CHLTVOLU,mass_concentration_of_chlorophyll_in_sea_water,ug l-1,CHLT,Total chlorophyll
130852,Chlorophyll a,µg/g,SDN:P06::UGGR,Micrograms per gram,SDN:P01::CPHLXXKG,"Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit mass of the 
water body [particulate >unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/CPHLXXKG,mass_concentration_of_chlorophyll_a_in_sea_water,ug g-1,CPHL,Chlorophyll-a
80123,Chlorophyll a,µg/kg,SDN:P06::UUKG,Micrograms per kilogram,SDN:P01::CPHLXXKG,"Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit mass of the 
water body [particulate >unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/CPHLXXKG,mass_concentration_of_chlorophyll_a_in_sea_water,ug kg-1,CPHL,Chlorophyll-a
136767,Chlorophyll a,nmol/g,,,SDN:P01::CPHLXXKG,"Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit mass of the 
water body [particulate >unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/CPHLXXKG,mass_concentration_of_chlorophyll_a_in_sea_water,nmol g-1,CPHL,Chlorophyll-a
146357,Chlorophyll total,mg/m**3,SDN:P06::UMMC,Milligrams per cubic metre,SDN:P01::CHLTVOLU,"Concentration of chlorophyll {Chl CAS 1406-65-1} per unit volume of the 
water body",http://vocab.nerc.ac.uk/collection/P01/current/CHLTVOLU,mass_concentration_of_chlorophyll_in_sea_water,mg cm-3,CHLT,Total chlorophyll
19345,"Fluorescence, chlorophyll",µg/l,SDN:P06::UGPL,Micrograms per litre,SDN:P01::CPHLPM01,"Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the 
water body [particulate >unknown phase] by in-situ chlorophyll fluorometer 
and manufacturer's calibration applied",http://vocab.nerc.ac.uk/collection/P01/current/CPHLPM01,mass_concentration_of_chlorophyll_a_fluorescence_in_sea_water,ug l-1,FLU2,Chlorophyll-a fluorescence
162276,"Organic matter, colored dissolved",ppb (QSE),SDN:P06::UPPB,Parts per billion,SDN:P01::FLUOCDOM,Fluorescence of the water body by linear-response CDOM fluorometer,http://vocab.nerc.ac.uk/collection/P01/current/FLUOCDOM,concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate,1.00E-09,CDOM,Cdom
28739,Turbidity,arbitrary units,SDN:P06:USPC,Not specified,SDN:P01::TURBXXXX,Turbidity of water in the water body,http://vocab.nerc.ac.uk/collection/P01/current/TURBXXXX,sea_water_turbidity,1,TUR4,Turbidity
